epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
44,2187.29,1.31693,2.47438,1.80365,0.01483,0.54498,0.49076,0.24319,0.25238,0.14022,0.43861,0.26722,0.23738,0.11136,1.84379,3.44968,2.91862,0.02955,0,0.00028715,0.00028715,0.00028715
45,2237.53,1.26408,2.19981,1.60426,0.01303,0.45993,0.46055,0.28776,0.267,0.15156,0.57718,0.22478,0.24839,0.11804,1.79203,3.46058,2.90663,0.0282,0,0.0002822,0.0002822,0.0002822
46,2287.24,1.33373,2.1991,1.67658,0.01366,0.47118,0.49106,0.29094,0.25859,0.15124,0.50409,0.27848,0.2522,0.12034,1.7909,3.51356,2.94908,0.02888,0,0.00027725,0.00027725,0.00027725
47,2337.79,1.24798,2.11779,1.56928,0.01261,0.46609,0.47963,0.27643,0.26227,0.14678,0.48553,0.2815,0.24503,0.11781,1.81135,3.39061,2.98995,0.02882,0,0.0002723,0.0002723,0.0002723
48,2386.99,1.30012,2.21972,1.61626,0.013,0.4323,0.46319,0.25688,0.25301,0.14476,0.46661,0.25055,0.24237,0.12013,1.81644,3.36236,2.98138,0.02898,0,0.00026735,0.00026735,0.00026735
49,2436.26,1.26363,2.16718,1.56012,0.01312,0.45629,0.48362,0.28335,0.26612,0.15122,0.46397,0.26963,0.24703,0.12237,1.82669,3.55334,3.04109,0.02934,0,0.0002624,0.0002624,0.0002624
50,2487.61,1.34422,2.24692,1.59995,0.01342,0.44328,0.44639,0.27891,0.25595,0.14985,0.4552,0.26825,0.24674,0.11876,1.82457,3.5495,2.96426,0.02911,0,0.00025745,0.00025745,0.00025745
51,2538.73,1.24267,2.1247,1.47733,0.01336,0.39867,0.443,0.27421,0.24147,0.13571,0.45183,0.26833,0.23003,0.10971,1.83829,3.66357,3.08335,0.02894,0,0.0002525,0.0002525,0.0002525
52,2588.46,1.25599,2.15163,1.52679,0.01292,0.46758,0.49785,0.28974,0.2872,0.16333,0.49997,0.2867,0.27573,0.13599,1.82819,3.51045,2.93945,0.02914,0,0.00024755,0.00024755,0.00024755
53,2638.84,1.23446,2.1333,1.54668,0.01262,0.47299,0.48611,0.27086,0.24538,0.1354,0.45138,0.27952,0.22703,0.10877,1.83717,3.5964,2.98429,0.02911,0,0.0002426,0.0002426,0.0002426
54,2688.74,1.29296,2.18146,1.65864,0.01267,0.46205,0.53708,0.26806,0.25756,0.14672,0.52906,0.26016,0.24664,0.12193,1.79038,3.47789,2.98286,0.02777,0,0.00023765,0.00023765,0.00023765
55,2739.07,1.28347,2.34273,1.50558,0.01241,0.4228,0.54649,0.26107,0.27202,0.15796,0.52349,0.25437,0.25075,0.12547,1.78898,3.54314,2.98454,0.028,0,0.0002327,0.0002327,0.0002327
56,2789.23,1.23274,2.13594,1.49945,0.01231,0.41566,0.4914,0.28977,0.27258,0.15863,0.50897,0.28266,0.26008,0.12486,1.8383,3.64864,3.02372,0.02908,0,0.00022775,0.00022775,0.00022775
57,2839.84,1.25186,2.46562,1.45097,0.01667,0.5182,0.51712,0.3091,0.28281,0.1628,0.5034,0.30208,0.26845,0.13178,1.82837,3.55217,2.97465,0.02896,0,0.0002228,0.0002228,0.0002228
58,2889.58,1.22001,2.12918,1.48869,0.01328,0.43664,0.53704,0.28331,0.27138,0.15743,0.5449,0.26902,0.26023,0.12784,1.81812,3.65343,2.98454,0.02887,0,0.00021785,0.00021785,0.00021785
59,2939.02,1.23288,2.10618,1.48026,0.01199,0.41704,0.44668,0.26967,0.24807,0.13889,0.46432,0.25665,0.2369,0.10999,1.80514,3.48716,3.13756,0.02843,0,0.0002129,0.0002129,0.0002129
60,2987.67,1.24719,2.1832,1.48544,0.01246,0.44277,0.45438,0.30164,0.26945,0.15574,0.52086,0.26342,0.2682,0.1278,1.8259,3.47123,2.91465,0.02897,0,0.00020795,0.00020795,0.00020795
61,3036.45,1.19005,2.06058,1.46709,0.01287,0.45029,0.48304,0.28721,0.26388,0.15368,0.53624,0.27898,0.26199,0.12899,1.80897,3.52409,2.94611,0.02872,0,0.000203,0.000203,0.000203
62,3084.6,1.27142,2.17073,1.53364,0.01341,0.41922,0.46218,0.27385,0.24981,0.14279,0.49137,0.24932,0.23909,0.11774,1.86913,3.48967,2.87612,0.02967,0,0.00019805,0.00019805,0.00019805
63,3134.52,1.21643,2.08505,1.49673,0.01207,0.42103,0.49605,0.30013,0.26624,0.15168,0.49249,0.28584,0.25619,0.12656,1.85349,3.48568,2.95684,0.02919,0,0.0001931,0.0001931,0.0001931
